Model,Best_Params,Precision,Recall,F1,ROC-AUC,Accuracy,TP,FP,FN,TN
Random Forest (tuned),"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 20}",0.9524,0.8163,0.8791,0.9703,0.9996,80,4,18,56860
XGBoost (tuned),"{'subsample': 1.0, 'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.1}",0.8966,0.7959,0.8432,0.9601,0.9995,78,9,20,56855
